经度,纬度,中心点编号,分区
103.9931801,30.66730123,0,居民居住区
104.1025498,30.64926915,1,居民居住区
104.0888758,30.75870497,2,居民居住区
103.8949343,30.799781,3,居民居住区
104.0593417,30.66549306,4,居民居住区
103.9436199,30.68852563,5,公司企业区
103.8346683,30.79776867,6,其他
104.0280545,30.70264986,7,公共服务区
104.138752,30.7608006,8,公共服务区
103.9805135,30.68825338,9,公共服务区
103.816648,30.6436132,10,公司企业区
103.865206,30.543995,11,其他
103.7555389,30.6667436,12,其他
103.9833453,30.70542036,14,居民居住区
104.0616829,30.57523302,15,公司企业区
104.0078895,30.67670009,16,居民居住区
103.9987896,30.54771059,17,居民居住区
104.0126016,30.59525988,18,公司企业区
104.0738899,30.63015594,19,居民居住区
103.8359574,30.7016696,20,居民居住区
103.9534286,30.75002365,22,公司企业区
104.1838548,30.73108026,23,居民居住区
104.0343048,30.58581121,24,居民居住区
103.9598378,30.59620627,25,公共服务区
104.1181973,30.48488236,26,其他
104.1072377,30.68172139,27,居民居住区
103.910901,30.5154262,28,其他
103.7515962,30.46227675,29,其他
103.9853917,30.57556267,31,居民居住区
104.0188744,30.79209331,32,其他
103.9788602,30.897046,33,其他
104.012766,30.73738967,34,居民居住区
103.9482171,30.72370839,35,公共服务区
104.150411,30.60842089,36,居民居住区
103.8790133,30.5876615,37,公司企业区
104.0676969,30.55270486,38,公司企业区
104.0900771,30.70516985,39,居民居住区
103.9421089,30.62767635,40,其他
103.8706413,30.80607,41,居民居住区
103.6227225,30.61986525,42,其他
104.1262171,30.56675318,43,公共服务区
103.9571975,30.79031778,44,居民居住区
104.1390459,30.64259419,45,居民居住区
103.8013126,30.674406,46,公司企业区
103.9831929,30.7169768,47,公司企业区
104.1652919,30.64829783,48,居民居住区
103.8650145,30.68207233,49,居民居住区
103.8918095,30.6775516,51,居民居住区
104.0103031,30.66339743,52,居民居住区
103.8996541,30.736762,53,其他
104.1606072,30.58023342,54,居民居住区
103.9447612,30.60298192,55,公共服务区
103.8498347,30.644646,56,公司企业区
103.9990193,30.7575422,58,居民居住区
103.9073808,30.79216469,59,公司企业区
104.0877035,30.64440915,60,居民居住区
103.8715203,30.67788484,61,居民居住区
103.9762562,30.66911866,62,居民居住区
103.9138067,30.67688551,63,其他
103.9118508,30.75807238,64,公司企业区
103.9287331,30.6994196,65,居民居住区
103.9877051,30.7434237,66,居民居住区
103.8981837,30.76808331,67,公司企业区
104.1645258,30.54942341,68,公司企业区
103.9923141,30.6052039,69,居民居住区
104.1393794,30.5769353,70,公共服务区
103.9132682,30.616258,71,居民居住区
103.9025925,30.6062075,72,公司企业区
104.1825687,30.57213024,73,居民居住区
103.9643469,30.61138848,74,居民居住区
104.0747435,30.72204391,75,居民居住区
104.0114913,30.57258662,76,居民居住区
104.1815565,30.65366419,77,居民居住区
104.0562345,30.64668464,78,居民居住区
103.9288365,30.730362,79,其他
104.1121089,30.7434145,80,公共服务区
104.0392455,30.52473891,81,居民居住区
104.1533168,30.56820375,82,公共服务区
104.049455,30.75480917,83,居民居住区
104.0994106,30.62877804,84,居民居住区
103.8671659,30.69871079,85,公司企业区
104.025982,30.64997028,86,居民居住区
104.1139815,30.6960004,87,其他
104.113456,30.71190753,88,居民居住区
104.0877224,30.68146885,89,居民居住区
103.9227995,30.74507074,90,公共服务区
103.8951352,30.56948723,92,公共服务区
104.1487669,30.59046715,93,居民居住区
104.5416638,30.35762968,94,其他
103.9605965,30.55603604,96,公共服务区
104.0266121,30.67079804,97,居民居住区
103.8079745,30.550929,98,其他
104.044033,30.70866484,99,居民居住区
104.0128029,30.6450329,100,居民居住区
103.917373,30.57610771,101,居民居住区
104.0254956,30.68720597,102,居民居住区
103.9191527,30.7235965,103,居民居住区
103.9822301,30.64473085,104,公共服务区
104.0137207,30.70580025,105,公共服务区
103.8798771,30.67724603,106,居民居住区
104.1965487,30.60905622,107,其他
104.1806964,30.69369404,108,公司企业区
104.0322439,30.74104289,110,居民居住区
104.079567,30.57034793,111,公共服务区
104.0144594,30.61698985,112,公司企业区
103.819427,30.56986,113,其他
104.1382835,30.66952397,114,居民居住区
104.3275664,30.60719252,115,公共服务区
104.1024158,30.71674096,116,居民居住区
104.0375299,30.61642686,117,居民居住区
104.1157811,30.58848235,118,公司企业区
104.2177566,30.69717871,119,公司企业区
103.5712361,30.86310433,120,其他
104.1256897,30.67863547,121,居民居住区
104.0760168,30.79489414,122,公司企业区
103.9965833,30.72306102,123,公司企业区
103.9267573,30.75587581,124,公共服务区
104.1439363,30.68639185,125,居民居住区
104.1468581,30.73226797,126,公共服务区
103.8832236,30.742411,127,其他
104.1668338,30.7098351,128,居民居住区
104.0103945,30.69289058,129,居民居住区
104.0351964,30.9345587,130,其他
103.9258908,30.67547562,131,公共服务区
104.070265,30.6773348,132,居民居住区
103.860113,30.6983269,133,居民居住区
103.9784099,30.72721838,134,公司企业区
103.9939956,30.68156298,135,居民居住区
103.9074733,30.30665481,136,其他
103.8749959,30.70606843,137,公司企业区
104.1163842,30.80940162,138,公司企业区
103.9759047,30.76100564,139,居民居住区
103.8805701,30.63087933,140,公司企业区
104.1015541,30.70047721,141,居民居住区
104.14545,30.74961603,142,居民居住区
103.8749536,30.9276196,143,其他
104.0233416,30.8430266,144,公司企业区
104.1365432,30.71473229,145,其他
103.9593601,30.63957364,146,公共服务区
104.0928048,30.61294405,147,居民居住区
104.0899398,30.78577,148,其他
104.0241579,30.63336588,149,居民居住区
103.8304637,30.67647,150,公共服务区
104.0470131,30.78854822,151,公司企业区
104.1308454,30.77695726,152,其他
103.8498252,30.69138792,153,居民居住区
103.8066412,30.6962684,154,公共服务区
104.0563608,30.61488737,155,公共服务区
103.8240786,30.69250682,156,居民居住区
104.1601335,30.62789095,157,居民居住区
103.9007988,30.71976962,158,公共服务区
103.841527,30.558151,159,其他
103.8067635,30.84414,160,其他
103.8790538,30.69540208,161,公司企业区
104.1604199,30.78094072,162,公司企业区
103.82426,30.6024855,163,其他
103.923271,30.66305718,164,其他
103.9686082,30.81927747,165,其他
104.0975033,30.55851991,166,公共服务区
103.9951744,30.7753599,167,其他
103.9606511,30.66795969,168,居民居住区
104.0723478,30.648837,169,居民居住区
104.1815855,30.41536259,170,其他
104.1246987,30.61167166,171,居民居住区
103.8995073,30.69983987,172,其他
104.0471629,30.67770944,173,居民居住区
103.9613007,30.98403032,174,居民居住区
104.1623151,30.66610008,175,居民居住区
103.8918218,30.4295242,176,其他
103.9846832,30.62615907,177,公司企业区
104.0682246,30.50293838,178,公共服务区
104.0587026,30.71915095,179,其他
104.116818,30.76366844,180,居民居住区
104.0564885,30.69389271,181,公共服务区
104.043411,30.55481791,182,居民居住区
103.853004,30.67512232,183,居民居住区
103.9988855,30.70663654,184,居民居住区
103.7905115,30.6354525,185,居民居住区
104.0740482,30.69312764,186,公共服务区
104.0121012,30.7202494,187,居民居住区
103.9618726,30.74300963,189,公司企业区
104.0716838,30.59529301,190,居民居住区
103.855699,30.772579,191,居民居住区
104.1386127,30.61462707,192,居民居住区
103.833407,30.633709,193,公司企业区
103.8999655,30.67671097,194,居民居住区
103.9280028,30.56322544,195,居民居住区
103.9754219,30.79406435,196,公司企业区
104.0790664,30.821754,197,居民居住区
104.2129237,30.57089748,198,居民居住区
104.0978928,30.59342832,199,其他
103.9381367,30.58226441,200,居民居住区
104.5720736,30.67512737,202,其他
103.869536,30.727244,203,其他
104.0692813,30.53700656,204,公司企业区
104.1672498,30.60108832,205,居民居住区
103.6865355,30.64610444,206,居民居住区
104.2444793,30.64586514,207,公司企业区
103.9604692,30.65214613,208,居民居住区
104.1189162,30.72935781,209,公司企业区
103.9405727,30.77267148,210,居民居住区
103.339761,30.343721,211,公共服务区
104.0392752,30.63855822,212,居民居住区
103.4947352,30.61973145,213,其他
103.9417006,30.55126837,214,公共服务区
103.9147435,30.63787184,216,公司企业区
103.9175414,30.60159508,217,居民居住区
104.0780883,30.66264476,218,居民居住区
104.2774769,30.72552391,219,其他
104.0892774,30.96613043,220,其他
103.9998132,30.63191698,221,居民居住区
104.0167113,30.42215971,222,其他
103.9594351,30.57893509,223,公共服务区
103.8540375,30.5479005,224,公共服务区
103.9591006,30.76371949,226,居民居住区
103.9407995,30.75942068,227,公司企业区
104.1804267,30.76361407,228,其他
104.1377398,30.65629906,229,居民居住区
103.8382928,30.7248135,230,居民居住区
103.8421084,30.6921053,231,居民居住区
103.9686129,30.73202474,232,公共服务区
104.1102749,30.6148955,233,公司企业区
104.1393122,30.59651882,234,居民居住区
103.9227938,30.77283346,235,公司企业区
104.0239936,30.7621386,236,居民居住区
104.3161342,30.93604725,237,其他
104.1170505,30.6501629,238,公共服务区
103.78465,30.5599325,239,其他
104.0875072,30.73565906,240,公共服务区
104.069771,30.7469561,241,居民居住区
103.9599564,30.53454603,243,其他
103.9608039,30.70595527,244,公共服务区
104.0417512,30.69228433,245,居民居住区
103.9713876,30.48971521,246,公司企业区
103.6653475,30.731636,247,其他
104.0539182,30.59497504,248,居民居住区
104.1233508,30.63412542,249,公共服务区
104.0700193,30.76716286,250,居民居住区
103.9308159,30.74105046,251,居民居住区
104.0476696,30.73149238,252,公共服务区
103.8673097,30.65146133,253,公司企业区
104.0731067,30.61480058,254,居民居住区
103.9162671,30.54673829,255,其他
103.9429429,30.86038743,256,其他
103.9133225,30.55715107,257,居民居住区
104.1516791,30.64483611,258,居民居住区
103.897737,30.65813077,260,居民居住区
103.6347965,30.97623338,261,其他
104.1662877,30.6913743,262,公司企业区
104.1133602,30.66723869,263,公共服务区
103.851771,30.700556,264,居民居住区
104.4150754,30.77198026,265,其他
103.6839799,30.94156313,266,公共服务区
103.829454,30.732616,267,居民居住区
103.9631115,30.69239267,268,居民居住区
103.8565302,30.5732995,269,其他
103.810718,30.589246,270,其他
104.030846,30.72029089,271,公共服务区
104.1757668,30.82564676,272,公共服务区
103.9985382,30.65002491,273,居民居住区
103.9574139,30.57084721,274,公共服务区
103.9604554,30.67968496,275,公司企业区
104.095986,30.66481973,276,公共服务区
104.2608821,30.56301417,278,居民居住区
104.082794,30.31288558,279,其他
104.0560402,30.6304003,280,居民居住区
104.072033,30.70569289,281,居民居住区
104.2480158,30.811056,282,公司企业区
104.0421871,30.66064995,283,公共服务区
103.9620949,30.72019154,284,公共服务区
104.2100357,30.53152383,285,公司企业区
103.8565111,30.68828885,286,居民居住区
104.1347302,30.54296011,287,其他
104.1508719,30.80057679,290,居民居住区
104.142728,30.62885791,291,公共服务区
103.9444184,30.66926224,292,居民居住区
103.9609953,30.62620346,293,居民居住区
103.9386678,30.64499612,294,公司企业区
103.8733855,30.557245,295,其他
103.8284966,30.41896717,296,居民居住区
104.1345063,30.69950115,297,其他
103.9308919,30.79351367,299,公司企业区
